STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,047,016300,2001,360470163002001,Block 2001,G5040,,,S,      28086,          0,+40.6784355,-073.9702847,                  -73.9702847000,                   40.6784355000
36,047,016300,1002,360470163001002,Block 1002,G5040,,,S,      24497,          0,+40.6801360,-073.9696736,                  -73.9696736000,                   40.6801360000
36,047,016100,3007,360470161003007,Block 3007,G5040,,,S,       8236,          0,+40.6780843,-073.9726730,                  -73.9726730000,                   40.6780843000
36,047,012901,1000,360470129011000,Block 1000,G5040,,,S,       2438,          0,+40.6844370,-073.9779400,                  -73.9779400000,                   40.6844370000
36,047,012901,1002,360470129011002,Block 1002,G5040,,,S,       7898,          0,+40.6833822,-073.9765746,                  -73.9765746000,                   40.6833822000
36,047,016100,1002,360470161001002,Block 1002,G5040,,,S,      24150,          0,+40.6807931,-073.9728127,                  -73.9728127000,                   40.6807931000
36,047,016300,1001,360470163001001,Block 1001,G5040,,,S,      24542,          0,+40.6809038,-073.9694014,                  -73.9694014000,                   40.6809038000
36,047,016300,2000,360470163002000,Block 2000,G5040,,,S,      28070,          0,+40.6793134,-073.9699678,                  -73.9699678000,                   40.6793134000
36,047,015900,1000,360470159001000,Block 1000,G5040,,,S,      12703,          0,+40.6758287,-073.9706858,                  -73.9706858000,                   40.6758287000
36,047,016300,3000,360470163003000,Block 3000,G5040,,,S,      28172,          0,+40.6775563,-073.9706034,                  -73.9706034000,                   40.6775563000
36,047,003500,1006,360470035001006,Block 1006,G5040,,,S,      25407,          0,+40.6841396,-073.9752313,                  -73.9752313000,                   40.6841396000
36,047,016100,3005,360470161003005,Block 3005,G5040,,,S,        528,          0,+40.6773771,-073.9725026,                  -73.9725026000,                   40.6773771000
36,047,012901,1001,360470129011001,Block 1001,G5040,,,S,      10872,          0,+40.6837378,-073.9777901,                  -73.9777901000,                   40.6837378000
36,047,016100,2000,360470161002000,Block 2000,G5040,,,S,      26771,          0,+40.6799682,-073.9730566,                  -73.9730566000,                   40.6799682000
36,047,016300,1000,360470163001000,Block 1000,G5040,,,S,      24962,          0,+40.6816852,-073.9691614,                  -73.9691614000,                   40.6816852000
36,047,016100,1001,360470161001001,Block 1001,G5040,,,S,      24199,          0,+40.6815644,-073.9725399,                  -73.9725399000,                   40.6815644000
36,047,016100,2001,360470161002001,Block 2001,G5040,,,S,      17958,          0,+40.6790217,-073.9728979,                  -73.9728979000,                   40.6790217000
36,047,016300,3001,360470163003001,Block 3001,G5040,,,S,      25763,          0,+40.6766738,-073.9707941,                  -73.9707941000,                   40.6766738000
36,047,016100,1000,360470161001000,Block 1000,G5040,,,S,      24367,          0,+40.6823457,-073.9722993,                  -73.9722993000,                   40.6823457000
36,047,003500,1007,360470035001007,Block 1007,G5040,,,S,      21848,          0,+40.6845106,-073.9768500,                  -73.9768500000,                   40.6845106000
36,047,012902,1000,360470129021000,Block 1000,G5040,,,S,      17034,          0,+40.6828921,-073.9749721,                  -73.9749721000,                   40.6828921000
